Variables,VL_Initial,VL_Growth,VL_PeakLevel,VL_Decline,Delay_PeakSympt
VL_Initial,0,0,0,0,0
VL_Growth,0,0.273036896,0.488813124,0.089249989,-0.007341591
VL_PeakLevel,0,0.488813124,2.255115865,0.481552002,0.071657754
VL_Decline,0,0.089249989,0.481552002,0.290229817,0.049141972
Delay_PeakSympt,0,-0.007341591,0.071657754,0.049141972,0.668672014
