Variables,VL_Initial,VL_GrowthRate,VL_PeakLevel,VL_DeclineRate,Delay_PeakSympt
VL_Initial,0,0,0,0,0
VL_GrowthRate,0,0.09090225,0.011660669,-0.003420463,0
VL_PeakLevel,0,0.011660669,0.0081,-0.002376,0
VL_DeclineRate,0,-0.003420463,-0.002376,0.0036,0
Delay_PeakSympt,0,0,0,0,0
