Variables,VL_Initial,VL_GrowthRate,VL_PeakLevel,VL_DeclineRate,Delay_PeakSympt
VL_Initial,0,0,0,0,0
VL_GrowthRate,0,0.105625,0.012616654,-0.007093363,0
VL_PeakLevel,0,0.012616654,0.0081,-0.004554,0
VL_DeclineRate,0,-0.007093363,-0.004554,0.013225,0
Delay_PeakSympt,0,0,0,0,0
